number	date
7	2012-12-13
19	2012-12-10
5	2012-12-09
35	2012-12-07
8	2012-12-05
5	2012-12-03
6	2012-12-02
6	2012-11-30
2	2012-11-29
11	2012-11-28
13	2012-11-27
4	2012-11-26
14	2012-11-23
7	2012-11-22
4	2012-11-20
3	2012-11-19
2	2012-11-15
4	2012-11-02
2	2012-11-01
1	2012-10-30
10	2012-10-29
2	2012-10-26
2	2012-10-24
3	2012-10-23
6	2012-10-22
7	2012-10-21
1	2012-10-20
4	2012-10-19
17	2012-10-18
8	2012-10-17
16	2012-10-16
13	2012-10-15
